Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4269770352,2015-10-18T00:00:00,423,,,CA,201609,,HOND,PA,SL,2018 7TH ST W,00600,58,80.69AP+,NO STOP/STANDING,93,99999,99999
4309183535,2017-06-08T00:00:00,1137,,,CA,201801,,FORD,PA,WT,1730 CAMDEN AVE,00102,51,80.69BS,NO PARK/STREET CLEAN,73,6427837.499743,1840039.29611
4267825343,2015-10-19T00:00:00,1846,BF242,,CA,201609,,FIAT,PA,WT,7601 MELROSE AV,00472,54,88.13B+,METER EXP.,63,6454080.5,1853024.4
1115829540,2016-10-26T00:00:00,735,,,CA,201609,,,VN,,8255 VAN NOORD AVE,35MQ1,1,098,5200,25,6436085.417458,1903037.489913
4329728756,2018-04-04T00:00:00,448,,,CA,201902,,FORD,PA,BK,1020 LAKE ST E,00134,51,22502A,18 IN. CURB/2 WAY,63,6422058.411892,1823393.671663
4274197550,2016-01-13T00:00:00,1243,CB502,,CA,201604,,INFI,PA,SL,1332 SANTEE ST S,00684,56,88.13B+,METER EXP.,63,6483338.1,1835151.5
4280681856,2016-04-11T00:00:00,1612,LM563,,CA,,,VOLV,PA,GY,201 FULLER AV N,00483,54,88.13B+,METER EXP.,63,6455734.4,1848415
4295909940,2016-11-13T00:00:00,843,,,CA,201707,,AUDI,PA,GY,1388 48TH PL E,534H,55,80.56E4+,RED ZONE,93,6485841.7027296,1822225.17475346
4350992505,2019-03-19T00:00:00,2154.0,,,AZ,202001.0,,TOYT,PA,BK,1641 N IVAR AVE,402A,54.0,80.69B,NO PARKING,73.0,6462322.362182,1859127.2022240001
4272661584,2015-12-18T00:00:00,1822,,,CA,201606,,TOYT,PA,SL,6100 SEPULVEDA BOULEVARD,00319,53,22507.8C,DISABLED PARKING/CRO,363,6420674.8,1888723
4270913382,2015-11-09T00:00:00,315,,,CA,201608,,KIA,PA,SL,1600 IRVING TABOR CT,00111,51,80.69B,NO PARKING,73,6421105.6,1819197.4
4283394695,2016-05-19T00:00:00,1822,26,,CA,201703,,MERZ,PA,SL,2360 PELHAM AVE,206A,51,80.58L,PREFERENTIAL PARKING,68,6433098.5,1838373.4
4310492196,2017-06-07T00:00:00,1311,28,,CA,12,,BMW,PA,RD,819 S  MULLEN AVE,00477,54,80.58L,PREFERENTIAL PARKING,68,6461435.086323,1844593.879199
4264890840,2015-08-09T00:00:00,1834,72,,CA,201511,,TOYT,PA,SL,1731 NORTH VISTA STREET,00401,54,80.58L,PREFERENTIAL PARKING,68,6455144.8,1859759.3
4268641521,2015-09-30T00:00:00,1225,,,CA,201511,,HOND,VN,GN,7040 WHITSETT AVE,00353,53,80.69BS,NO PARK/STREET CLEAN,73,6439126.6,1894900.9
4350850873,2019-04-04T00:00:00,1204.0,PM148,,CA,,,TSMR,PA,BK,10100 VENICE BL,309A,51.0,88.13B+,METER EXP.,63.0,6440398.543713,1830762.628727
4274751644,2016-01-28T00:00:00,1656,CB460,,CA,201607,,TOYT,PA,SL,1301 SANTEE ST S,00181,56,88.13B+,METER EXP.,63,6483418.8,1835270.8
4245956035,2014-11-03T00:00:00,1022,,,CA,201503,NV,JEEP,PA,BK,6326 LEXINGTON AVENUE,00485,54,80.69BS,NO PARK/STREET CLEAN,73,6462467.4,1856229.5
4302726422,2017-02-04T00:00:00,1304,,,CA,201609,,BMW,PA,RD,10885 PICO BL W,00403,51,5204A-,DISPLAY OF TABS,25,6431639.726568,1837136.657289
4276625124,2016-02-28T00:00:00,206,,,CA,201612,,MITS,PA,GN,15416 CHASE STREET,00319,53,22500F,PARKED ON SIDEWALK,68,99999,99999
1116914584,2017-08-01T00:00:00,1108,,,CA,201711,,JEEP,PA,GY,2207 BEACHWOOD,00447,54,8069BS,NO PARK/STREET CLEAN,73,6464353.309741,1862660.702024
4347138880,2019-01-18T00:00:00,1058.0,,,CA,201903.0,,HOND,PA,WT,8600 WYSTONE AVE,00334,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6396307.3623709995,1905229.1603400002
4331188212,2018-04-26T00:00:00,1533.0,VH212,,CA,201812.0,,FORD,PA,BK,4501 AVOCADO ST,00445,54.0,88.13B+,METER EXP.,63.0,6474661.60575,1862805.161962
4254856583,2015-03-09T00:00:00,1124,CB7749,,CA,201504,,CHEV,VN,WT,1019 MAPLE AVE S,00681,56,88.13B+,METER EXP.,63,6524096.4,1821152.9
4331238752,2018-05-17T00:00:00,1652.0,,,CA,201808.0,,BMW,PA,BL,842 WALL ST S,00600,56.0,80.56E2,YELLOW ZONE,58.0,6485612.506523999,1836863.344218
4274732140,2016-01-11T00:00:00,849,CC7328,,CA,10,,FORD,PA,BK,300 OLIVE ST S,00656,56,88.13B+,METER EXP.,63,6485891.2,1841526.6
